Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25693,76,-72,9.0,Clothing,Hankerchief,Cod
B-25852,744,67,4.0,Furniture,Tables,Cod
B-25860,112,24,3.0,Clothing,Kurti,Cod
B-25853,39,16,6.0,Clothing,Skirt,Upi
B-25898,744,-87,2.0,Furniture,Tables,Cod
B-26100,744,113,2.0,Furniture,Chairs,Cod
B-25653,744,-87,8.0,Electronics,Printers,Emi
B-25839,744,113,7.0,Clothing,Saree,Emi
B-25651,744,-18,7.0,Furniture,Chairs,Cod
B-25957,744,-13,9.0,Furniture,Bookcases,Credit Card
B-25704,126,-63,3.0,Electronics,Accessories,Upi
B-25730,744,-87,3.0,Electronics,Phones,Credit Card
B-26052,744,113,3.0,Electronics,Accessories,Cod
B-25656,24,-1,2.0,Clothing,Hankerchief,Cod
B-26033,744,113,3.0,Electronics,Accessories,Cod
B-25850,93,-1,2.0,Clothing,Hankerchief,Cod
B-25945,744,-36,3.0,Electronics,Electronic Games,Cod
B-26086,744,101,6.0,Electronics,Printers,Cod
B-25752,744,113,9.0,Electronics,Electronic Games,Cod
B-26098,96,-48,5.0,Clothing,Leggings,Upi
B-26067,744,-14,7.0,Electronics,Printers,Emi
B-25730,18,8,2.0,Clothing,Hankerchief,Debit Card
B-25986,744,-87,7.0,Furniture,Furnishings,Cod
B-26067,744,113,6.0,Clothing,Saree,Emi
B-25953,744,113,6.0,Electronics,Printers,Cod
B-25952,14,0,4.0,Clothing,Hankerchief,Upi
B-25903,19,8,2.0,Clothing,Hankerchief,Debit Card
B-25650,512,-87,5.0,Clothing,Saree,Cod
B-25970,742,113,2.0,Furniture,Bookcases,Cod
B-26062,44,-40,3.0,Clothing,Stole,Cod
B-25643,744,-36,8.0,Furniture,Bookcases,Emi
B-25632,19,-2,2.0,Clothing,Leggings,Debit Card
B-25821,17,0,1.0,Clothing,Hankerchief,Cod
B-25878,741,113,5.0,Furniture,Bookcases,Cod
B-25752,735,-87,6.0,Electronics,Printers,Cod
B-25750,19,-1,1.0,Clothing,Shirt,Debit Card
B-25657,744,-48,4.0,Electronics,Electronic Games,Emi
B-25787,556,-87,7.0,Clothing,Saree,Cod
B-25808,63,-17,6.0,Clothing,Leggings,Cod
B-25885,734,113,2.0,Furniture,Chairs,Cod
B-25778,744,113,5.0,Clothing,Saree,Credit Card
B-25759,20,-9,6.0,Clothing,Hankerchief,Debit Card
B-25747,744,113,2.0,Furniture,Bookcases,Credit Card
B-25878,719,113,6.0,Furniture,Chairs,Cod
B-25603,12,1,2.0,Clothing,Hankerchief,Cod
B-25691,714,56,4.0,Clothing,Saree,Cod
B-25607,50,-15,4.0,Clothing,Leggings,Cod
B-25708,709,-87,5.0,Electronics,Phones,Cod
B-26021,21,-12,3.0,Clothing,Hankerchief,Debit Card
B-25831,693,113,6.0,Clothing,Saree,Cod
B-25850,24,1,4.0,Clothing,Hankerchief,Cod
B-25670,24,1,2.0,Clothing,Hankerchief,Upi
B-25852,24,1,2.0,Clothing,Hankerchief,Cod
B-26029,21,10,1.0,Clothing,T-Shirt,Debit Card
B-25959,681,113,4.0,Furniture,Chairs,Cod
B-25676,674,-87,2.0,Furniture,Tables,Cod
B-26097,671,-87,5.0,Electronics,Electronic Games,Cod
B-25888,646,-87,3.0,Electronics,Electronic Games,Cod
B-25911,40,15,1.0,Clothing,Kurti,Cod
B-25662,24,-2,2.0,Clothing,T-Shirt,Cod
B-25950,644,113,2.0,Electronics,Printers,Cod
B-25847,643,113,2.0,Electronics,Printers,Cod
B-25796,632,-87,6.0,Clothing,Saree,Cod
B-25693,632,113,6.0,Clothing,Saree,Cod
B-25993,610,113,3.0,Electronics,Printers,Cod
B-26052,78,-28,6.0,Clothing,Kurti,Upi
B-25930,595,113,4.0,Furniture,Bookcases,Cod
B-25785,595,113,3.0,Clothing,Saree,Cod
B-26093,744,51,5.0,Furniture,Bookcases,Credit Card
B-26053,594,89,3.0,Furniture,Bookcases,Cod
B-26019,585,113,9.5,Clothing,T-Shirt,Cod
B-26070,582,113,5.0,Furniture,Furnishings,Cod
B-25870,744,84,7.0,Clothing,Saree,Credit Card
B-25855,744,19,4.0,Electronics,Printers,Credit Card
B-25602,561,113,3.0,Clothing,Saree,Cod
B-25728,744,-87,2.0,Electronics,Phones,Credit Card
B-25803,744,8,6.0,Clothing,Saree,Emi
B-25996,31,2,2.0,Clothing,Hankerchief,Cod
B-26078,557,-87,2.0,Electronics,Electronic Games,Cod
B-25803,744,113,2.0,Electronics,Printers,Credit Card
B-25682,545,-73,9.5,Electronics,Phones,Cod
B-25749,744,-82,3.0,Furniture,Bookcases,Upi
B-25962,544,-87,3.0,Furniture,Bookcases,Cod
B-25899,22,9,2.0,Clothing,Leggings,Debit Card
B-25845,744,113,2.0,Electronics,Printers,Credit Card
B-25951,742,113,2.0,Furniture,Bookcases,Credit Card
B-25828,537,107,3.0,Clothing,Saree,Cod
B-25803,536,91,1.0,Clothing,Trousers,Cod
B-25656,6,3,1.0,Clothing,Hankerchief,Cod
B-25681,523,113,7.0,Clothing,Trousers,Cod
B-25658,27,9,2.0,Clothing,T-Shirt,Upi
B-25698,516,113,8.0,Furniture,Chairs,Cod
B-25832,504,113,3.0,Furniture,Bookcases,Cod
B-25886,502,84,4.0,Electronics,Phones,Cod
B-25897,734,113,6.0,Electronics,Electronic Games,Credit Card
B-25873,42,12,2.0,Clothing,Kurti,Cod
B-25858,29,11,4.0,Clothing,Skirt,Cod
B-25867,240,12,6.0,Clothing,Kurti,Upi
B-25633,496,-79,2.0,Clothing,Trousers,Cod
B-25609,485,29,4.0,Electronics,Electronic Games,Cod
B-25896,31,-11,3.0,Clothing,Skirt,Upi
B-26000,676,113,3.0,Electronics,Printers,Credit Card
B-25959,23,8,2.0,Clothing,Hankerchief,Debit Card
B-25940,13,3,2.0,Clothing,Hankerchief,Cod
B-26087,180,0,8.0,Clothing,Stole,Cod
B-26055,671,113,9.0,Electronics,Phones,Credit Card
B-25980,22,11,3.0,Clothing,Kurti,Cod
B-25653,668,-31,3.0,Electronics,Printers,Credit Card
B-26052,145,0,3.0,Clothing,Saree,Upi
B-25877,24,8,2.0,Clothing,Skirt,Debit Card
B-25608,476,0,3.0,Furniture,Chairs,Cod
B-25897,24,11,5.0,Clothing,Hankerchief,Debit Card
B-25881,37,3,3.0,Clothing,Hankerchief,Cod
B-25905,152,50,6.0,Clothing,Stole,Upi
B-25818,32,11,2.0,Clothing,Leggings,Upi
B-25835,52,11,5.0,Clothing,Leggings,Cod
B-26081,24,11,3.0,Clothing,Hankerchief,Debit Card
B-25730,473,42,4.0,Furniture,Chairs,Cod
B-25837,263,50,5.0,Clothing,Stole,Cod
B-25893,61,11,3.0,Clothing,Kurti,Cod
B-25689,469,-87,3.0,Electronics,Electronic Games,Cod
B-26028,744,113,2.0,Electronics,Phones,Cod
B-26081,169,0,3.0,Electronics,Accessories,Cod
B-25903,25,11,3.0,Clothing,Leggings,Debit Card
B-25651,457,-41,4.0,Clothing,Saree,Cod
B-25903,455,77,8.0,Electronics,Accessories,Cod
B-26086,25,2,2.0,Clothing,Hankerchief,Debit Card
B-25654,450,-87,3.0,Electronics,Printers,Cod
B-25720,30,-35,1.0,Furniture,Chairs,Cod
B-26057,659,-37,2.0,Furniture,Bookcases,Credit Card
B-25798,448,113,2.0,Electronics,Printers,Cod
B-25961,446,53,3.0,Electronics,Printers,Cod
B-25701,98,-45,2.0,Furniture,Chairs,Upi
B-26055,443,11,1.0,Clothing,Saree,Cod
B-25653,427,-50,7.0,Electronics,Phones,Cod
B-25670,656,-36,2.0,Furniture,Bookcases,Credit Card
B-26056,424,113,2.0,Clothing,Saree,Cod
B-26061,27,8,2.0,Clothing,T-Shirt,Debit Card
B-25602,424,-87,5.0,Electronics,Phones,Cod
B-26016,202,4,4.0,Clothing,Hankerchief,Cod
B-25873,744,113,2.0,Electronics,Phones,Upi
B-25761,418,70,7.0,Electronics,Phones,Cod
B-25819,417,49,3.0,Electronics,Electronic Games,Cod
B-25853,199,48,4.0,Clothing,Stole,Upi
B-25662,385,-77,9.5,Furniture,Furnishings,Upi
B-25993,414,113,3.0,Electronics,Phones,Cod
B-25703,97,-45,4.0,Clothing,Saree,Cod
B-25848,648,50,6.0,Electronics,Electronic Games,Credit Card
B-25678,27,-25,2.0,Clothing,Shirt,Debit Card
B-25925,27,12,1.0,Clothing,Stole,Debit Card
B-25977,27,1,1.0,Clothing,Stole,Upi
B-25797,413,-87,9.0,Furniture,Chairs,Cod
B-26067,53,2,4.0,Clothing,Hankerchief,Cod
B-25810,29,8,5.0,Clothing,Hankerchief,Upi
B-25648,30,13,1.0,Clothing,T-Shirt,Upi
B-25933,412,113,6.0,Clothing,Saree,Cod
B-25942,646,-23,2.0,Electronics,Printers,Credit Card
B-25656,30,-5,5.0,Clothing,Stole,Upi
B-26067,618,27,4.0,Furniture,Bookcases,Credit Card
B-25673,143,-87,5.0,Clothing,Saree,Upi
B-25797,31,1,2.0,Clothing,Hankerchief,Upi
B-26098,409,86,3.0,Clothing,Saree,Cod
B-25656,406,113,2.0,Clothing,Saree,Cod
B-25791,565,66,7.0,Clothing,Saree,Credit Card
B-26053,85,2,6.0,Clothing,Stole,Cod
B-25983,561,113,5.0,Furniture,Bookcases,Credit Card
B-25743,503,-56,2.0,Clothing,Trousers,Cod
B-25867,31,14,3.0,Clothing,Stole,Upi
B-25973,398,111,8.0,Clothing,Hankerchief,Cod
B-25895,388,93,2.0,Furniture,Bookcases,Cod
B-26003,498,-87,4.0,Clothing,Saree,Upi
B-25717,561,113,3.0,Clothing,Saree,Credit Card
B-26064,61,3,4.0,Clothing,Hankerchief,Cod
B-25630,34,-22,4.0,Clothing,T-Shirt,Cod
B-26050,32,6,3.0,Clothing,Shirt,Upi
B-25786,623,-87,3.0,Furniture,Tables,Upi
B-26035,520,113,3.0,Electronics,Phones,Credit Card
B-25693,32,-16,6.0,Clothing,Saree,Upi
B-25703,32,-5,5.0,Clothing,Hankerchief,Upi
B-25966,510,113,6.0,Electronics,Electronic Games,Emi
B-26060,382,68,3.0,Clothing,Saree,Cod
B-25898,33,13,3.0,Clothing,Leggings,Upi
B-25686,381,-13,2.0,Clothing,Saree,Cod
B-26051,490,88,2.0,Electronics,Accessories,Emi
B-25854,381,113,2.0,Clothing,Saree,Cod
B-26050,487,113,4.0,Electronics,Phones,Emi
B-25961,366,84,3.0,Furniture,Bookcases,Cod
B-25701,33,-29,3.0,Clothing,Shirt,Upi
B-25970,365,107,3.0,Electronics,Phones,Cod
B-25933,207,-87,2.0,Clothing,Saree,Upi
B-26081,359,-87,5.0,Furniture,Bookcases,Cod
B-25650,351,-47,8.0,Electronics,Phones,Cod
B-25850,485,113,4.0,Clothing,Saree,Emi
B-25643,37,-23,4.0,Clothing,Shirt,Upi
B-26100,34,10,2.0,Clothing,T-Shirt,Debit Card
B-25964,346,108,3.0,Furniture,Chairs,Cod
B-25676,342,-87,4.0,Electronics,Electronic Games,Cod
B-25628,35,-8,2.0,Furniture,Furnishings,Debit Card
B-25891,121,41,4.0,Clothing,Stole,Upi
B-25903,336,57,2.0,Electronics,Phones,Cod
B-25851,336,71,3.0,Furniture,Bookcases,Cod
B-26089,27,4,1.0,Clothing,Hankerchief,Cod
B-25996,333,50,2.0,Electronics,Phones,Cod
B-25881,36,7,3.0,Clothing,Leggings,Debit Card
B-25621,333,-15,3.0,Electronics,Phones,Cod
B-25727,327,113,4.0,Clothing,Trousers,Cod
B-25843,18,6,3.0,Clothing,Hankerchief,Upi
B-26050,325,32,7.0,Clothing,T-Shirt,Cod
B-25741,482,-6,7.0,Electronics,Electronic Games,Emi
B-25756,465,-33,4.0,Electronics,Phones,Emi
B-25787,40,-12,3.0,Clothing,Shirt,Cod
B-25603,107,36,6.0,Clothing,Stole,Cod
B-25655,312,-87,7.0,Furniture,Chairs,Cod
B-26096,451,25,3.0,Electronics,Phones,Emi
B-25962,312,62,1.0,Electronics,Electronic Games,Cod
B-26007,311,72,2.0,Furniture,Bookcases,Cod
B-26088,11,5,2.0,Clothing,Hankerchief,Upi
B-25673,37,-5,3.0,Clothing,T-Shirt,Debit Card
B-25664,444,-87,4.0,Electronics,Phones,Emi
B-25642,434,26,9.5,Clothing,Shirt,Credit Card
B-25987,299,0,6.0,Clothing,Stole,Cod
B-25903,37,17,3.0,Clothing,Hankerchief,Debit Card
B-25770,299,113,2.0,Furniture,Bookcases,Cod
B-25840,298,74,2.0,Furniture,Bookcases,Cod
B-25846,94,7,7.0,Clothing,Leggings,Upi
B-25745,296,113,9.5,Clothing,Saree,Cod
B-26073,37,17,3.0,Clothing,Hankerchief,Debit Card
B-26030,291,93,2.0,Electronics,Printers,Cod
B-25678,327,-39,1.0,Electronics,Phones,Cod
B-26035,291,113,9.5,Clothing,Saree,Cod
B-25896,287,-66,6.0,Clothing,Kurti,Cod
B-25989,42,15,1.0,Electronics,Accessories,Upi
B-26016,429,61,3.0,Electronics,Electronic Games,Credit Card
B-26009,285,113,2.0,Electronics,Printers,Cod
B-25915,277,3,1.0,Electronics,Electronic Games,Cod
B-25845,274,-7,4.0,Electronics,Phones,Cod
B-25645,273,-87,4.0,Electronics,Phones,Cod
B-25803,269,91,1.0,Electronics,Electronic Games,Cod
B-26030,11,5,1.0,Clothing,Skirt,Cod
B-25955,39,2,2.0,Clothing,Saree,Debit Card
B-26096,264,-26,3.0,Clothing,Trousers,Cod
B-25635,40,16,3.0,Clothing,Hankerchief,Debit Card
B-26038,41,19,2.0,Clothing,T-Shirt,Debit Card
B-25791,253,-63,2.0,Clothing,Saree,Upi
B-26014,406,97,7.0,Furniture,Chairs,Credit Card
B-25751,32,7,3.0,Clothing,Hankerchief,Cod
B-25962,260,68,2.0,Electronics,Printers,Cod
B-26025,41,19,5.0,Clothing,Hankerchief,Debit Card
B-26048,401,13,6.0,Furniture,Chairs,Credit Card
B-25635,382,30,3.0,Clothing,Saree,Credit Card
B-25981,744,113,5.0,Electronics,Phones,Cod
B-25610,43,0,3.0,Clothing,Saree,Debit Card
B-25733,43,-43,7.0,Clothing,Stole,Debit Card
B-25977,74,29,3.0,Clothing,Stole,Cod
B-25655,44,-26,3.0,Clothing,Hankerchief,Debit Card
B-25612,259,-55,2.0,Furniture,Chairs,Cod
B-25608,257,23,5.0,Clothing,Hankerchief,Cod
B-25752,76,27,5.0,Clothing,Stole,Cod
B-25700,44,-32,3.0,Clothing,Stole,Debit Card
B-25856,257,3,2.0,Clothing,Saree,Cod
B-26026,255,76,9.0,Clothing,Hankerchief,Cod
B-25861,44,14,3.0,Clothing,Hankerchief,Debit Card
B-25673,45,-2,4.0,Clothing,Shirt,Cod
B-25681,44,-3,1.0,Clothing,Saree,Debit Card
B-26051,382,113,2.0,Clothing,Saree,Credit Card
B-25951,250,100,3.0,Clothing,Trousers,Cod
B-25799,45,-15,2.0,Furniture,Chairs,Cod
B-26053,246,61,2.0,Furniture,Bookcases,Cod
B-26030,50,25,5.0,Clothing,Stole,Cod
B-26054,246,98,5.0,Clothing,Hankerchief,Cod
B-25696,44,99,3.0,Clothing,Kurti,Debit Card
B-25660,245,-78,3.0,Clothing,Saree,Cod
B-25858,245,30,2.0,Clothing,Saree,Cod
B-26045,376,0,7.0,Clothing,Stole,Credit Card
B-25850,45,1,3.0,Clothing,T-Shirt,Debit Card
B-25781,45,-28,2.0,Clothing,Stole,Debit Card
B-25918,244,-87,5.0,Furniture,Furnishings,Cod
B-25971,244,83,2.0,Furniture,Bookcases,Cod
B-25870,10,4,1.0,Clothing,Kurti,Upi
B-25770,375,113,3.0,Furniture,Bookcases,Credit Card
B-25757,46,14,5.0,Clothing,Skirt,Debit Card
B-25699,49,-31,2.0,Clothing,Stole,Upi
B-25776,47,-20,2.0,Clothing,Kurti,Debit Card
B-25893,355,-87,7.0,Clothing,Stole,Credit Card
B-25985,32,8,5.0,Clothing,Hankerchief,Upi
B-25681,243,-14,2.0,Furniture,Chairs,Cod
B-26063,241,-77,4.0,Electronics,Electronic Games,Cod
B-26032,47,15,5.0,Clothing,Saree,Debit Card
B-26001,50,-10,6.0,Clothing,Skirt,Debit Card
B-26056,15,6,2.0,Clothing,Hankerchief,Cod
B-25850,148,24,3.0,Clothing,Stole,Cod
B-25767,299,-28,3.0,Electronics,Electronic Games,Upi
B-25693,68,-30,1.0,Electronics,Phones,Upi
B-25850,52,18,5.0,Clothing,Leggings,Debit Card
B-25796,239,-87,5.0,Furniture,Chairs,Cod
B-26053,27,6,3.0,Clothing,Skirt,Cod
B-25650,238,20,2.0,Clothing,Saree,Cod
B-25961,48,16,3.0,Clothing,Shirt,Cod
B-26023,66,22,3.0,Clothing,Stole,Upi
B-25809,53,24,1.0,Clothing,Hankerchief,Debit Card
B-25621,233,-10,5.0,Electronics,Electronic Games,Cod
B-25854,53,-2,3.0,Clothing,Saree,Debit Card
B-26057,54,8,4.0,Clothing,T-Shirt,Debit Card
B-25688,352,-87,5.0,Clothing,Saree,Credit Card
B-25885,349,0,7.0,Clothing,Stole,Credit Card
B-25753,341,-85,6.0,Clothing,Trousers,Credit Card
B-25981,54,12,3.0,Clothing,Saree,Debit Card
B-26055,57,7,2.0,Clothing,Shirt,Upi
B-25714,340,20,7.0,Clothing,Shirt,Credit Card
B-26055,227,48,5.0,Clothing,Stole,Cod
B-25989,330,81,1.0,Furniture,Bookcases,Credit Card
B-25710,216,-38,6.0,Furniture,Furnishings,Upi
B-25773,224,-87,3.0,Furniture,Chairs,Cod
B-25661,55,-33,2.0,Furniture,Chairs,Debit Card
B-26021,49,21,1.0,Clothing,Stole,Upi
B-26057,224,87,3.0,Clothing,Trousers,Cod
B-25858,223,27,2.0,Furniture,Bookcases,Cod
B-25857,324,39,8.0,Electronics,Accessories,Credit Card
B-25656,56,18,2.0,Clothing,Hankerchief,Debit Card
B-25999,223,62,7.0,Clothing,Shirt,Cod
B-25856,10,2,2.0,Clothing,Skirt,Cod
B-25926,57,6,5.0,Clothing,Leggings,Debit Card
B-25728,322,-87,4.0,Clothing,Saree,Credit Card
B-26076,219,4,2.0,Clothing,Saree,Cod
B-25913,103,21,7.0,Clothing,Stole,Upi
B-25703,47,-27,4.0,Clothing,Saree,Cod
B-25858,219,0,1.0,Clothing,Saree,Cod
B-25727,57,-48,6.0,Clothing,Leggings,Debit Card
B-26020,319,102,6.0,Electronics,Accessories,Credit Card
B-26003,315,-8,3.0,Furniture,Chairs,Credit Card
B-25925,314,-41,3.0,Electronics,Electronic Games,Credit Card
B-26087,311,40,1.0,Electronics,Electronic Games,Emi
B-25810,307,74,3.0,Electronics,Accessories,Emi
B-25858,294,109,7.0,Electronics,Accessories,Emi
B-25861,216,-83,3.0,Electronics,Electronic Games,Cod
B-25661,58,-42,2.0,Furniture,Chairs,Debit Card
B-25943,48,20,4.0,Clothing,Stole,Upi
B-25955,54,14,3.0,Clothing,T-Shirt,Upi
B-26051,216,50,4.0,Clothing,Stole,Cod
B-25999,215,-30,2.0,Clothing,Saree,Cod
B-26083,43,8,3.0,Clothing,Leggings,Cod
B-25950,136,-33,5.0,Clothing,Saree,Cod
B-25625,59,-30,3.0,Clothing,Leggings,Debit Card
B-26055,213,4,9.5,Clothing,Shirt,Cod
B-26023,59,21,2.0,Clothing,Stole,Debit Card
B-26010,55,3,3.0,Clothing,T-Shirt,Cod
B-25955,294,62,9.0,Clothing,T-Shirt,Emi
B-25900,210,62,2.0,Electronics,Phones,Cod
B-26089,59,24,6.0,Clothing,Kurti,Debit Card
B-25655,396,-31,9.0,Clothing,Saree,Cod
B-25979,284,45,2.0,Furniture,Bookcases,Emi
B-26002,276,52,5.0,Clothing,Saree,Emi
B-25635,23,2,2.0,Clothing,Skirt,Upi
B-26084,209,-63,4.0,Electronics,Electronic Games,Cod
B-25998,50,-28,5.0,Furniture,Furnishings,Cod
B-25872,57,27,2.0,Clothing,Shirt,Cod
B-25795,276,-21,2.0,Electronics,Phones,Emi
B-25902,268,6,2.0,Furniture,Bookcases,Upi
B-25650,269,111,3.0,Clothing,Trousers,Emi
B-25957,209,2,1.0,Clothing,Saree,Cod
B-25793,60,-12,4.0,Clothing,Hankerchief,Debit Card
B-25654,269,-86,2.0,Electronics,Electronic Games,Emi
B-25750,208,-25,2.0,Clothing,Saree,Cod
B-25835,27,2,2.0,Clothing,Leggings,Upi
B-25652,206,-87,3.0,Clothing,Saree,Cod
B-26018,61,8,4.0,Clothing,Hankerchief,Debit Card
B-25750,212,-24,2.0,Furniture,Chairs,Cod
B-25840,262,64,6.0,Clothing,Saree,Emi
B-25756,204,113,3.0,Furniture,Bookcases,Cod
B-25777,59,-46,7.0,Clothing,T-Shirt,Upi
B-25750,199,-18,2.0,Clothing,Saree,Cod
B-25823,59,6,1.0,Electronics,Accessories,Upi
B-26096,45,9,3.0,Clothing,Leggings,Upi
B-25757,211,19,8.0,Clothing,Stole,Cod
B-25698,65,-16,2.0,Electronics,Phones,Debit Card
B-25710,25,0,4.0,Clothing,Skirt,Upi
B-25994,196,-7,5.0,Electronics,Phones,Cod
B-25950,261,13,6.0,Clothing,Shirt,Credit Card
B-25653,195,-87,5.0,Electronics,Phones,Cod
B-25785,192,-87,3.0,Clothing,Saree,Cod
B-25863,189,87,7.0,Clothing,Stole,Cod
B-25959,32,2,2.0,Clothing,Kurti,Upi
B-25991,188,13,7.0,Clothing,Shirt,Cod
B-25680,73,-25,3.0,Clothing,Saree,Cod
B-25910,259,47,5.0,Clothing,Hankerchief,Credit Card
B-25737,187,-15,3.0,Clothing,Trousers,Cod
B-25853,26,11,2.0,Clothing,Hankerchief,Upi
B-26097,185,-26,6.0,Furniture,Chairs,Cod
B-25875,248,8,2.0,Clothing,Saree,Credit Card
B-26031,67,9,4.0,Clothing,Leggings,Debit Card
B-25773,248,-70,3.0,Furniture,Chairs,Credit Card
B-25840,246,61,2.0,Furniture,Bookcases,Credit Card
B-25908,179,-25,5.0,Clothing,Kurti,Cod
B-26041,176,-28,5.0,Furniture,Furnishings,Cod
B-26010,176,-13,5.0,Furniture,Furnishings,Cod
B-25640,68,-62,2.0,Clothing,Trousers,Debit Card
B-25794,176,37,6.0,Electronics,Accessories,Cod
B-25987,88,11,7.0,Clothing,Hankerchief,Upi
B-25615,68,20,5.0,Clothing,Hankerchief,Debit Card
B-25997,231,99,2.0,Electronics,Electronic Games,Credit Card
B-25981,62,8,2.0,Clothing,T-Shirt,Upi
B-25791,175,77,3.0,Clothing,Saree,Cod
B-25986,71,4,5.0,Clothing,Leggings,Debit Card
B-25652,174,-70,3.0,Electronics,Accessories,Cod
B-25952,173,69,3.0,Furniture,Chairs,Cod
B-25898,171,2,2.0,Electronics,Electronic Games,Cod
B-25785,268,-25,3.0,Clothing,Saree,Cod
B-25990,71,32,3.0,Clothing,Saree,Debit Card
B-26091,29,10,4.0,Clothing,Hankerchief,Upi
B-25604,65,17,2.0,Clothing,T-Shirt,Upi
